basin,site_id,latitude,longitude,bias,calibration_source,time,absolute_water_level_NAVD88,absolute_water_level_WGS84
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 19:43:14,0.677,-24.904
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 19:48:14,0.677,-24.903
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 19:53:14,0.677,-24.904
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 19:58:14,0.676,-24.904
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 20:03:14,0.675,-24.906
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 20:08:14,0.673,-24.907
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 20:13:14,0.673,-24.907
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 20:18:14,0.673,-24.908
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 20:23:14,0.673,-24.908
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 20:28:14,0.673,-24.907
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 20:33:14,0.674,-24.907
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 20:38:14,0.673,-24.907
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 20:43:14,0.672,-24.908
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 20:48:14,0.671,-24.91
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 20:53:14,0.668,-24.912
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 20:58:14,0.665,-24.915
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 21:03:14,0.663,-24.917
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 21:08:14,0.659,-24.921
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 21:13:14,0.655,-24.926
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 21:18:14,0.651,-24.929
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 21:23:14,0.647,-24.933
Atchafalaya,Wax_Lake_3,29.62889999,-91.3993,0.07,ASO_Lidar,2016-10-13 21:28:14,0.642,-24.938
