basin,site_id,latitude,longitude,bias,calibration_source,time,absolute_water_level_NAVD88,absolute_water_level_WGS84
Atchafalaya,Wax_Lake_5,29.54139165,-91.42702778,0.07,ASO_Lidar,2016-10-16 17:24:36,0.391,-25.009
Atchafalaya,Wax_Lake_5,29.54139165,-91.42702778,0.07,ASO_Lidar,2016-10-16 17:29:36,0.393,-25.007
Atchafalaya,Wax_Lake_5,29.54139165,-91.42702778,0.07,ASO_Lidar,2016-10-16 17:34:36,0.396,-25.004
Atchafalaya,Wax_Lake_5,29.54139165,-91.42702778,0.07,ASO_Lidar,2016-10-16 17:39:36,0.401,-24.999
Atchafalaya,Wax_Lake_5,29.54139165,-91.42702778,0.07,ASO_Lidar,2016-10-16 17:44:36,0.406,-24.993
Atchafalaya,Wax_Lake_5,29.54139165,-91.42702778,0.07,ASO_Lidar,2016-10-16 17:49:36,0.413,-24.987
Atchafalaya,Wax_Lake_5,29.54139165,-91.42702778,0.07,ASO_Lidar,2016-10-16 17:54:36,0.42,-24.98
Atchafalaya,Wax_Lake_5,29.54139165,-91.42702778,0.07,ASO_Lidar,2016-10-16 17:59:36,0.427,-24.973
Atchafalaya,Wax_Lake_5,29.54139165,-91.42702778,0.07,ASO_Lidar,2016-10-16 18:04:36,0.433,-24.966
Atchafalaya,Wax_Lake_5,29.54139165,-91.42702778,0.07,ASO_Lidar,2016-10-16 18:09:36,0.441,-24.959
Atchafalaya,Wax_Lake_5,29.54139165,-91.42702778,0.07,ASO_Lidar,2016-10-16 18:14:36,0.449,-24.951
Atchafalaya,Wax_Lake_5,29.54139165,-91.42702778,0.07,ASO_Lidar,2016-10-16 18:19:36,0.457,-24.943
Atchafalaya,Wax_Lake_5,29.54139165,-91.42702778,0.07,ASO_Lidar,2016-10-16 18:24:36,0.466,-24.934
Atchafalaya,Wax_Lake_5,29.54139165,-91.42702778,0.07,ASO_Lidar,2016-10-16 18:29:36,0.475,-24.924
Atchafalaya,Wax_Lake_5,29.54139165,-91.42702778,0.07,ASO_Lidar,2016-10-16 18:34:36,0.485,-24.915
Atchafalaya,Wax_Lake_5,29.54139165,-91.42702778,0.07,ASO_Lidar,2016-10-16 18:39:36,0.494,-24.906
Atchafalaya,Wax_Lake_5,29.54139165,-91.42702778,0.07,ASO_Lidar,2016-10-16 18:44:36,0.503,-24.897
Atchafalaya,Wax_Lake_5,29.54139165,-91.42702778,0.07,ASO_Lidar,2016-10-16 18:49:36,0.512,-24.887
Atchafalaya,Wax_Lake_5,29.54139165,-91.42702778,0.07,ASO_Lidar,2016-10-16 18:54:36,0.521,-24.879
