basin,site_id,latitude,longitude,bias,calibration_source,time,absolute_water_level_NAVD88,absolute_water_level_WGS84
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 18:06:33,0.428,-24.967
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 18:11:33,0.434,-24.962
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 18:16:33,0.44,-24.955
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 18:21:33,0.449,-24.947
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 18:26:33,0.458,-24.938
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 18:31:33,0.468,-24.927
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 18:36:33,0.479,-24.917
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 18:41:33,0.489,-24.907
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 18:46:33,0.499,-24.896
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 18:51:33,0.51,-24.886
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 18:56:33,0.519,-24.876
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 19:01:33,0.529,-24.866
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 19:06:33,0.54,-24.856
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 19:11:33,0.551,-24.844
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 19:16:33,0.563,-24.833
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 19:21:33,0.574,-24.822
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 19:26:33,0.584,-24.811
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 19:31:33,0.595,-24.801
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 19:36:33,0.606,-24.79
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 19:41:33,0.615,-24.78
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 19:46:33,0.625,-24.771
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 19:51:33,0.634,-24.761
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 19:56:33,0.645,-24.751
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 20:01:33,0.656,-24.739
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 20:06:33,0.667,-24.728
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 20:11:33,0.677,-24.718
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 20:16:33,0.687,-24.708
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 20:21:33,0.697,-24.699
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 20:26:33,0.705,-24.69
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 20:31:33,0.713,-24.682
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 20:36:33,0.72,-24.676
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 20:41:33,0.727,-24.668
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 20:46:33,0.735,-24.66
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 20:51:33,0.745,-24.65
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 20:56:33,0.755,-24.64
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 21:01:33,0.763,-24.632
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 21:06:33,0.771,-24.625
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 21:11:33,0.776,-24.619
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 21:16:33,0.78,-24.615
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 21:21:33,0.783,-24.613
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 21:26:33,0.784,-24.612
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 21:31:33,0.787,-24.609
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 21:36:33,0.79,-24.605
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 21:41:33,0.795,-24.601
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 21:46:33,0.801,-24.595
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 21:51:33,0.806,-24.59
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 21:56:33,0.811,-24.584
Atchafalaya,Wax_Lake_6,29.53836941,-91.44320833,-9999,ASO_Lidar,2016-10-16 22:01:33,0.816,-24.58
