"channel_id","date","time","utc_time","along_channel_distance","CoordX","CoordY","longitude","latitude","water_surface_elevation_NAVD88","water_surface_elevation_WGS84","water_surface_elevation_uncertainty"
"WLO","2015-05-08","11:15:10",40510,11500,655267.86,3280415.19,-91.3959362,29.6440114,1.211,-24.193,0.078
"WLO","2015-05-08","11:15:10",40510,11550,655252.34,3280367.66,-91.3961033,29.6435846,1.225,-24.178,0.079
"WLO","2015-05-08","11:15:10",40510,11600,655236.83,3280320.12,-91.3962703,29.6431576,1.239,-24.164,0.08
"WLO","2015-05-08","11:15:10",40510,11650,655221.31,3280272.59,-91.3964374,29.6427308,1.253,-24.149,0.081
"WLO","2015-05-08","11:15:10",40510,11700,655205.79,3280225.06,-91.3966044,29.6423039,1.266,-24.135,0.081
"WLO","2015-05-08","11:15:10",40510,11750,655190.28,3280177.53,-91.3967714,29.6418771,1.279,-24.122,0.082
"WLO","2015-05-08","11:15:10",40510,11800,655174.76,3280130,-91.3969385,29.6414502,1.291,-24.108,0.081
"WLO","2015-05-08","11:15:10",40510,11850,655159.24,3280082.47,-91.3971056,29.6410233,1.304,-24.095,0.082
"WLO","2015-05-08","11:15:10",40510,16200,653793.65,3275952.42,-91.411793,29.6039333,0.824,-24.491,0.074
"WLO","2015-05-08","11:15:10",40510,16250,653777.69,3275905.04,-91.4119645,29.6035078,0.82,-24.495,0.074
"WLO","2015-05-08","11:15:10",40510,16300,653761.73,3275857.66,-91.4121359,29.6030823,0.815,-24.498,0.074
"WLO","2015-05-08","11:15:10",40510,16350,653745.76,3275810.27,-91.4123075,29.6026567,0.811,-24.502,0.074
"WLO","2015-05-08","11:15:10",40510,16400,653729.8,3275762.89,-91.4124789,29.6022313,0.807,-24.505,0.074
"WLO","2015-05-08","11:15:10",40510,16450,653713.84,3275715.51,-91.4126504,29.6018058,0.803,-24.508,0.074
"WLO","2015-05-08","11:15:10",40510,16500,653697.87,3275668.12,-91.412822,29.6013802,0.8,-24.512,0.074
"WLO","2015-05-08","11:15:10",40510,16550,653681.91,3275620.74,-91.4129934,29.6009547,0.796,-24.514,0.074
"WLO","2015-05-08","11:15:10",40510,16600,653665.95,3275573.36,-91.4131649,29.6005293,0.793,-24.517,0.074
"WLO","2015-05-08","11:15:10",40510,16650,653649.99,3275525.97,-91.4133363,29.6001037,0.79,-24.519,0.074
"WLO","2015-05-08","11:15:10",40510,16700,653634.02,3275478.59,-91.4135079,29.5996782,0.787,-24.522,0.074
"WLO","2015-05-08","11:15:10",40510,16750,653618.06,3275431.21,-91.4136793,29.5992527,0.784,-24.524,0.074
"WLO","2015-05-08","11:15:10",40510,16800,653602.1,3275383.82,-91.4138508,29.5988272,0.782,-24.526,0.074
"WLO","2015-05-08","11:15:10",40510,16850,653586.13,3275336.44,-91.4140223,29.5984017,0.779,-24.528,0.074
"WLO","2015-05-08","11:15:10",40510,16900,653570.17,3275289.06,-91.4141938,29.5979762,0.777,-24.529,0.074
"WLO","2015-05-08","11:15:10",40510,16950,653554.21,3275241.67,-91.4143652,29.5975507,0.775,-24.531,0.074
"WLO","2015-05-08","11:15:10",40510,17000,653538.24,3275194.29,-91.4145367,29.5971252,0.773,-24.532,0.074
"WLO","2015-05-08","11:15:10",40510,17050,653522.28,3275146.91,-91.4147082,29.5966997,0.772,-24.533,0.074
"WLO","2015-05-08","11:15:10",40510,17100,653506.32,3275099.52,-91.4148796,29.5962741,0.77,-24.534,0.074
